route,locale,canonical_english_route,page_type,compliance_tier,audit_status,audit_score,primary_keyword,keyword_count,meta_keywords,title_hit,description_hit,h1_hit,h2_hit,body_hit,keyword_density_pct,mapping_status,from_google_ads_keywords,mapped_clusters,mapped_cluster_rows,matched_business_groups,matched_ads_keywords,keyword_sources,planned_priority,planned_page_role,implementation_action,issues,title,description,file
/en,en,/en,home,normal,partial,70,industrial UAV systems,6,industrial UAV systems | low altitude monitoring | UAV inspection drone | emergency response UAV | drone detection equipment | security screening systems,true,false,true,false,true,0.358,命中关键词库但未规划,是,,,Drone Detection & Airspace Monitoring,drone detection equipment,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词; H2 未命中关键词,Industrial UAV Systems & Low-Altitude Monitoring | N-TET,"N-TET builds industrial UAV platforms, low-altitude monitoring equipment, emergency response drones, inspection systems, and security screening solutions for infrastructure operators.",.next/server/app/en.html
/en/about,en,/en/about,brand,normal,weak,45,industrial UAV manufacturer,5,industrial UAV manufacturer | low altitude monitoring manufacturer | UAV system supplier | security equipment manufacturer | N-TET,true,true,false,false,false,0.000,命中关键词库但未规划,是,,,Industrial UAV Systems,industrial UAV manufacturer,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,H1 未命中关键词; H2 未命中关键词; 正文未命中精确关键词短语,About N-TET | Industrial UAV & Monitoring Systems Manufacturer,"Learn about N-TET engineering, R&D, and manufacturing capabilities for industrial UAV systems, low-altitude monitoring equipment, and security technologies.",.next/server/app/en/about.html
/en/accessories,en,/en/accessories,accessory_index,normal,strong,80,drone accessories,8,drone accessories | UAV components | UAV gimbal | UAV engine | UAV data link | drone propellers | UAV motors | flight controller,true,false,true,true,true,4.789,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components | UAV gimbal | UAV engine | UAV data link | drone propellers | UAV motors,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词; 关键词密度偏高，需检查堆砌风险,Drone Accessories & UAV Components | N-TET,"Browse N-TET UAV accessories including electro-optical gimbals, UAV engines, data links, propellers, motors, batteries, remote controllers, and flight controllers.",.next/server/app/en/accessories.html
/en/accessories/fc-bt1,en,/en/accessories/fc-bt1,accessory_detail,normal,strong,85,FC-BT1 UAV Solid-State Battery,4,FC-BT1 UAV Solid-State Battery | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.303,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-BT1 UAV Solid-State Battery | N-TET Drone Accessories,"FC-BT1 is a 280Wh/kg, 4.2V 10C solid-state lithium-ion battery series covering 16Ah-30Ah capacities for inspection, mapping, VTOL, multi-rotor industrial UAVs, robots, and unmanned vessels.",.next/server/app/en/accessories/fc-bt1.html
/en/accessories/fc-bt2,en,/en/accessories/fc-bt2,accessory_detail,normal,strong,85,FC-BT2 UAV Solid-State Battery,4,FC-BT2 UAV Solid-State Battery | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.347,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-BT2 UAV Solid-State Battery | N-TET Drone Accessories,"FC-BT2 is an upgraded FC-BT1 series with 310Wh/kg energy density, improved wind resistance and landing safety, and stable performance for inspection, mapping, VTOL, and multi-rotor industrial UAVs.",.next/server/app/en/accessories/fc-bt2.html
/en/accessories/fc-bt3,en,/en/accessories/fc-bt3,accessory_detail,normal,strong,85,FC-BT3 High-Voltage UAV Solid-State Battery,4,FC-BT3 High-Voltage UAV Solid-State Battery | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.336,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-BT3 High-Voltage UAV Solid-State Battery | N-TET Drone Accessories,FC-BT3 is a 4.35V high-voltage solid-state battery series with higher discharge rate and lower voltage sag for heavy-lift VTOL and aircraft with large differences between vertical-lift and cruise power demand.,.next/server/app/en/accessories/fc-bt3.html
/en/accessories/fc-bt4,en,/en/accessories/fc-bt4,accessory_detail,normal,strong,85,FC-BT4 High-Energy UAV Solid-State Battery,4,FC-BT4 High-Energy UAV Solid-State Battery | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.220,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-BT4 High-Energy UAV Solid-State Battery | N-TET Drone Accessories,"FC-BT4 is a 340Wh/kg high-energy-density solid-state battery series balancing low voltage sag, high safety, long service life, and cost performance for reconnaissance, solar, mapping, security, and long-endurance UAVs.",.next/server/app/en/accessories/fc-bt4.html
/en/accessories/fc-btg,en,/en/accessories/fc-btg,accessory_detail,normal,strong,85,FC-BTG Training UAV Solid-State Battery,4,FC-BTG Training UAV Solid-State Battery | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.439,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-BTG Training UAV Solid-State Battery | N-TET Drone Accessories,"FC-BTG is a cost-effective solid-state battery series for training, logistics, and power-operation scenarios, covering FC-BTG-TG1 and FC-BTG-TG3 configurations with stable output, long endurance, and training-friendly adaptation.",.next/server/app/en/accessories/fc-btg.html
/en/accessories/fc-c2d-propeller,en,/en/accessories/fc-c2d-propeller,accessory_detail,normal,strong,85,FC-C2D UAV Propeller,4,FC-C2D UAV Propeller | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.721,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-C2D UAV Propeller | N-TET Drone Accessories,Dimension range: 11~42 in; maximum thrust: 12.42kgf (7000RPM); peak propeller efficiency: 11.08gf/W (2821RPM).,.next/server/app/en/accessories/fc-c2d-propeller.html
/en/accessories/fc-c2e-propeller,en,/en/accessories/fc-c2e-propeller,accessory_detail,normal,strong,85,FC-C2E UAV Propeller,4,FC-C2E UAV Propeller | drone accessories | UAV components | industrial UAV parts,true,false,true,true,true,0.746,命中关键词库但未规划,是,,,General Drone/UAV Broad,drone accessories | UAV components,cleaned_master,,,补入关键词规划表，明确主落地页和辅助词,description 未命中关键词,FC-C2E UAV Propeller | N-TET Drone Accessories,Dimension range: 8~32 in; maximum thrust: 10.84kgf (6261RPM); peak propeller efficiency: 10.83gf/W (3442RPM).,.next/server/app/en/accessories/fc-c2e-propeller.html
