priority,canonical_keyword_cluster,keyword_rows,target_url,target_page_role,current_audit_status,current_audit_score,primary_keyword,page_tier,implementation_action,notes
P0,Water Conservancy Monitoring UAV,7938,/en/solutions/water-conservancy-river-lake-uav-monitoring-solution,方案详情页,weak,50,water conservancy monitoring UAV,normal,优化现有页面,"补 title/description/H1/H2/首段；正文自然覆盖 dam inspection UAV、river lake UAV monitoring、flood monitoring drone"
P0,Search & Rescue UAV,7038,/en/solutions/disaster-site-search-rescue-reconnaissance-uav-solution,方案详情页,weak,45,search and rescue drone,normal,优化现有页面,"把主词从 thermal drones for search and rescue 调整为 search and rescue drone；补 H1/H2/正文"
P0,Industrial Facility Inspection UAV,6354,/en/solutions/category/02_InfrastructureProtection,方案栏目页,weak,35,industrial facility inspection UAV,normal,优化栏目页并内链到详情页,"作为基础设施检查总入口，承接 industrial facility inspection、oil and gas、pipeline、chemical plant 等宽词"
P0,Power Line & Transmission Tower Inspection UAV,4938,/en/solutions/power-line-uav-intelligent-inspection-solution,方案详情页,weak,15,drone power line inspection,normal,优化现有页面,"当前 title/description/H1/H2/正文全部未命中；需优先修复"
P0,Oil & Gas Facility Inspection UAV,4480,/en/solutions/oil-production-base-protection,方案详情页,partial,70,oil and gas drone inspection,normal,优化现有页面,"description 和 H2 未命中；可同时补充 oil production site、pipeline corridor、facility inspection"
P0,Maritime & Coastal Patrol UAV,4120,/en/solutions/uav-maritime-patrol,方案详情页,weak,45,maritime patrol UAV,normal,优化现有页面,"避免只抢 border patrol drones；H1/H2/正文应覆盖 maritime patrol UAV、coastal monitoring drone"
P0,Pipeline Inspection UAV,1388,/en/solutions/chemical-plant-protection,方案详情页,weak,30,pipeline inspection drones,neutral_seo,优化现有页面,"该页可做 SEO/GEO 信息页；如用于广告落地需确认合规层级"
P0,Chemical & Petrochemical Plant UAV,1096,/en/solutions/chemical-plant-protection,方案详情页,weak,30,chemical plant monitoring,neutral_seo,优化现有页面,"与 Pipeline Inspection UAV 共用页面，避免拆出薄页面"
P1,Smart Substation Autonomous Inspection,5200,/en/solutions/smart-substation-unattended-uav-inspection-solution,方案详情页,partial,65,smart substation autonomous inspection,normal,优化现有页面,"H1/H2 未命中；补 substation inspection drone、power utility UAV inspection"
P1,Emergency Communication UAV,4006,/en/solutions/post-disaster-emergency-communication-support-uav-solution,方案详情页,partial,65,emergency communication UAV,normal,优化现有页面,"H1/H2 未命中；补 disaster response communication drone、tethered communication UAV"
P1,Tethered Lighting UAV,1860,/en/solutions/night-emergency-lighting-support-uav-solution,方案详情页,partial,65,tethered lighting UAV,normal,优化现有页面,"H1/H2 未命中；补 drone lighting、UAV lighting system、emergency lighting drone"
P1,High-Rise Firefighting UAV,1166,/en/solutions/urban-high-rise-firefighting-emergency-uav-solution,方案详情页,partial,65,high-rise firefighting UAV,normal,优化现有页面,"H1/H2 未命中；补 firefighting drone、drone fire fighting"
P1,Firefighting UAV,894,/en/solutions/urban-high-rise-firefighting-emergency-uav-solution,方案详情页,partial,65,firefighting drone,normal,合并到同一方案页,"与 High-Rise Firefighting UAV 共用，不单独建薄页"
P1,Border Patrol UAV,950,/en/solutions/category/01_BorderPatrol,方案栏目页,weak,50,border patrol UAV,normal,优化栏目页并内链到 maritime 页,"栏目页承接 border patrol UAV 宽词，/uav-maritime-patrol 承接 maritime/coastal 细分词"
P2,Utility Inspection UAV,234,/en/products/fc-yqxj-01-utility-inspection-drone,产品详情页,not_checked,,utility inspection drone,normal,补产品页语义,"作为产品承接页；方案词仍回到 power-line / infrastructure pages"
P2,Cell Tower Inspection UAV,10,/en/solutions/power-line-uav-intelligent-inspection-solution,方案详情页,weak,15,drone cell tower inspection,normal,作为 H2/FAQ 扩展,"量级低，先作为 power line inspection 页面里的场景小节，不新建页面"
P2,Industrial UAV Systems,core,/en/products,产品栏目页,partial,65,industrial UAV systems,normal,优化栏目页 H1/H2,"产品中心当前 H1/H2 未命中；用于承接 broad product intent"
P2,Industrial UAV Quote,conversion,/en/contact,转化页,strong,100,industrial UAV quote,normal,保持现状,"用于报价、supplier、manufacturer、price、consultation 等转化型词"
