route,locale,page_type,keyword_status,keyword_score,primary_keyword,audit_scope,words,content_paragraphs,h1_count,h2_count,h3_count,image_count,missing_alt_count,internal_links,descriptive_internal_links,schema_types,search_intent_score,content_quality_score,experience_score,expertise_score,authority_score,trust_score,eeat_score,ai_citation_score,priority,issues,recommendations,title,h1,h2,file
/ar/accessories/fc-bt1,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT1,full_inventory,1488,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-bt1.html
/ar/accessories/fc-bt2,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT2,full_inventory,1346,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-bt2.html
/ar/accessories/fc-bt3,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الجهد FC-BT3,full_inventory,1118,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-bt3.html
/ar/accessories/fc-bt4,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الطاقة FC-BT4,full_inventory,1976,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-bt4.html
/ar/accessories/fc-btg,ar,accessory_detail,strong,100,بطارية UAV تدريبية صلبة FC-BTG,full_inventory,1203,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-btg.html
/ar/accessories/fc-c2d-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2D,full_inventory,1197,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-c2d-propeller.html
/ar/accessories/fc-c2e-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2E,full_inventory,1087,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-c2e-propeller.html
/ar/accessories/fc-c2t-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2T,full_inventory,1187,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-c2t-propeller.html
/ar/accessories/fc-c2u-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2U,full_inventory,1187,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-c2u-propeller.html
/ar/accessories/fc-c2ud-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2UD,full_inventory,1197,0,0,0,0,0,0,0,0,,22,7,0,0,0,8,8,0,P1 需要补内容,"有效正文段落偏少; H2 结构偏薄; 缺少页面类型应有证据：hasSpecs, hasProductSchema, hasInquiry; 缺少 JSON-LD Schema; 描述性内链不足",增加 3-6 个有信息量的段落，避免只靠卡片、导航和短摘要支撑页面; 增加围绕搜索意图的 H2：应用场景、工作流程、技术参数、案例证据、FAQ; 按页面类型补齐证据模块，而不是继续堆关键词; 补充 Organization / Product / Service / Article / BreadcrumbList 等匹配页面类型的 Schema,,,,.next/server/app/ar/accessories/fc-c2ud-propeller.html
