image_path,page_or_handle,content_type,initial_status,reason,final_status,action,replacement_path,notes
/products/02-anti-drone-cuas/anti-drone-systems-home.webp,homeData previous featured product,product,block,"Path contained anti-drone and previous card linked to a restricted active countermeasure product.",replace,replace,/products/02-drone-detection/drone-detection-home.webp,"Copied to a neutral path and changed homepage feature to stationary RF detection."
/products/02-anti-drone-cuas/anti-drone-systems-mobile.webp,homeData previous featured product,product,block,"Path contained anti-drone and previous card linked to a restricted active countermeasure product.",replace,replace,/products/02-drone-detection/drone-detection-mobile.webp,"Copied to a neutral path and changed homepage feature to stationary RF detection."
/products/04-defense-engineering/defense-logistics-home.webp,homeData engineering feature,product,review,"Image may be safe, but path contained defense-engineering and defense-logistics.",rename,rename,/products/04-engineering-materials/engineering-materials-home.webp,"Copied to a neutral engineering materials path."
/products/04-defense-engineering/defense-logistics-mobile.webp,homeData engineering feature,product,review,"Image may be safe, but path contained defense-engineering and defense-logistics.",rename,rename,/products/04-engineering-materials/engineering-materials-mobile.webp,"Copied to a neutral engineering materials path."
/cases/airport-security-application/main-home.webp,homeCases,case,block,"Current case content is restricted until rewritten as neutral airspace monitoring.",block,block,,"Removed homeCases from homepage."
/cases/pakistan-power-plant-anti-uav/main-home.webp,homeCases,case,block,"Path and current case content contain anti-uav positioning.",block,block,,"Removed homeCases from homepage."
/cases/asian-games-security/main-home.webp,homeCases,case,review,"Case can become neutral later, but current content references active countermeasure terms.",block,block,,"Removed homeCases from homepage."
/cases/water-conservancy-security/main-home.webp,homeCases,case,review,"Case can become neutral later, but current content references active countermeasure terms.",block,block,,"Removed homeCases from homepage."
/cases/brazil-refinery-anti-uav/main-home.webp,homeCases,case,block,"Path and current case content contain anti-uav positioning.",block,block,,"Removed homeCases from homepage."
/cases/nigeria-factory-anti-uav/main-home.webp,homeCases,case,block,"Path and current case content contain anti-uav positioning.",block,block,,"Removed homeCases from homepage."
