route,locale,page_type,compliance_tier,audit_status,audit_score,target_source,target_cluster,primary_keyword,secondary_keywords,suggested_title,suggested_h1,suggested_h2,current_title_hit,current_h1_hit,current_h2_hit,current_body_hit,next_action
/en,en,home,normal,partial,70,google_ads_keyword_library_unplanned,Drone Detection & Airspace Monitoring,industrial UAV systems,low altitude monitoring | UAV inspection drone | emergency response UAV | drone detection equipment | security screening systems,Industrial UAV Systems | N-TET,Industrial UAV Systems,Industrial UAV Systems Overview,true,true,false,true,补入关键词规划表，再决定是否改页面
/en/about,en,brand,normal,weak,45,google_ads_keyword_library_unplanned,Industrial UAV Systems,industrial UAV manufacturer,low altitude monitoring manufacturer | UAV system supplier | security equipment manufacturer | N-TET,Industrial UAV Manufacturer | N-TET,Industrial UAV Manufacturer,Industrial UAV Manufacturer Overview,true,false,false,false,补入关键词规划表，再决定是否改页面
/en/accessories,en,accessory_index,normal,strong,80,google_ads_keyword_library_unplanned,General Drone/UAV Broad,drone accessories,UAV components | UAV gimbal | UAV engine | UAV data link | drone propellers | UAV motors,Drone Accessories | N-TET,Drone Accessories,Drone Accessories Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-bt1,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-BT1 UAV Solid-State Battery,drone accessories | UAV components | industrial UAV parts,FC-BT1 UAV Solid-State Battery | N-TET,FC-BT1 UAV Solid-State Battery,FC-BT1 UAV Solid-State Battery Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-bt2,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-BT2 UAV Solid-State Battery,drone accessories | UAV components | industrial UAV parts,FC-BT2 UAV Solid-State Battery | N-TET,FC-BT2 UAV Solid-State Battery,FC-BT2 UAV Solid-State Battery Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-bt3,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-BT3 High-Voltage UAV Solid-State Battery,drone accessories | UAV components | industrial UAV parts,FC-BT3 High-Voltage UAV Solid-State Battery | N-TET,FC-BT3 High-Voltage UAV Solid-State Battery,FC-BT3 High-Voltage UAV Solid-State Battery Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-bt4,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-BT4 High-Energy UAV Solid-State Battery,drone accessories | UAV components | industrial UAV parts,FC-BT4 High-Energy UAV Solid-State Battery | N-TET,FC-BT4 High-Energy UAV Solid-State Battery,FC-BT4 High-Energy UAV Solid-State Battery Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-btg,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-BTG Training UAV Solid-State Battery,drone accessories | UAV components | industrial UAV parts,FC-BTG Training UAV Solid-State Battery | N-TET,FC-BTG Training UAV Solid-State Battery,FC-BTG Training UAV Solid-State Battery Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-c2d-propeller,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-C2D UAV Propeller,drone accessories | UAV components | industrial UAV parts,FC-C2D UAV Propeller | N-TET,FC-C2D UAV Propeller,FC-C2D UAV Propeller Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-c2e-propeller,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-C2E UAV Propeller,drone accessories | UAV components | industrial UAV parts,FC-C2E UAV Propeller | N-TET,FC-C2E UAV Propeller,FC-C2E UAV Propeller Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-c2t-propeller,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-C2T UAV Propeller,drone accessories | UAV components | industrial UAV parts,FC-C2T UAV Propeller | N-TET,FC-C2T UAV Propeller,FC-C2T UAV Propeller Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-c2u-propeller,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-C2U UAV Propeller,drone accessories | UAV components | industrial UAV parts,FC-C2U UAV Propeller | N-TET,FC-C2U UAV Propeller,FC-C2U UAV Propeller Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-c2ud-propeller,en,accessory_detail,normal,strong,85,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-C2UD UAV Propeller,drone accessories | UAV components | industrial UAV parts,FC-C2UD UAV Propeller | N-TET,FC-C2UD UAV Propeller,FC-C2UD UAV Propeller Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-111,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-111 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-111 UAV Engine | N-TET,FC-FDJ-111 UAV Engine,FC-FDJ-111 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-120,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-120 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-120 UAV Engine | N-TET,FC-FDJ-120 UAV Engine,FC-FDJ-120 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-120hd,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-120HD UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-120HD UAV Engine | N-TET,FC-FDJ-120HD UAV Engine,FC-FDJ-120HD UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-170,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-170 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-170 UAV Engine | N-TET,FC-FDJ-170 UAV Engine,FC-FDJ-170 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-200,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-200 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-200 UAV Engine | N-TET,FC-FDJ-200 UAV Engine,FC-FDJ-200 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-222,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-222 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-222 UAV Engine | N-TET,FC-FDJ-222 UAV Engine,FC-FDJ-222 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-430,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-430 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-430 UAV Engine | N-TET,FC-FDJ-430 UAV Engine,FC-FDJ-430 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-55,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-55 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-55 UAV Engine | N-TET,FC-FDJ-55 UAV Engine,FC-FDJ-55 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-60,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-60 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-60 UAV Engine | N-TET,FC-FDJ-60 UAV Engine,FC-FDJ-60 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-61,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-61 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-61 UAV Engine | N-TET,FC-FDJ-61 UAV Engine,FC-FDJ-61 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-70hd,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-70HD UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-70HD UAV Engine | N-TET,FC-FDJ-70HD UAV Engine,FC-FDJ-70HD UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-fdj-85,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-FDJ-85 UAV Engine,drone accessories | UAV components | industrial UAV parts,FC-FDJ-85 UAV Engine | N-TET,FC-FDJ-85 UAV Engine,FC-FDJ-85 UAV Engine Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-l10tr-three-light-gimbal,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-L10TR Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-L10TR Electro-Optical Gimbal | N-TET,FC-L10TR Electro-Optical Gimbal,FC-L10TR Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-l40-smart-optical-pod,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-L40 Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-L40 Electro-Optical Gimbal | N-TET,FC-L40 Electro-Optical Gimbal,FC-L40 Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-l40t-dual-light-gimbal,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-L40T Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-L40T Electro-Optical Gimbal | N-TET,FC-L40T Electro-Optical Gimbal,FC-L40T Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-l40tr-smart-optical-pod,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-L40TR Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-L40TR Electro-Optical Gimbal | N-TET,FC-L40TR Electro-Optical Gimbal,FC-L40TR Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-l50-smart-optical-pod,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-L50 Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-L50 Electro-Optical Gimbal | N-TET,FC-L50 Electro-Optical Gimbal,FC-L50 Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
/en/accessories/fc-ln100-dual-light-gimbal,en,accessory_detail,normal,strong,100,google_ads_keyword_library_unplanned,General Drone/UAV Broad,FC-LN100 Electro-Optical Gimbal,drone accessories | UAV components | industrial UAV parts,FC-LN100 Electro-Optical Gimbal | N-TET,FC-LN100 Electro-Optical Gimbal,FC-LN100 Electro-Optical Gimbal Technical Specifications,true,true,true,true,补入关键词规划表，再决定是否改页面
