route,locale,page_type,keyword_status,keyword_score,primary_keyword,audit_scope,words,content_paragraphs,h1_count,h2_count,h3_count,image_count,missing_alt_count,internal_links,descriptive_internal_links,schema_types,search_intent_score,content_quality_score,experience_score,expertise_score,authority_score,trust_score,eeat_score,ai_citation_score,priority,issues,recommendations,title,h1,h2,file
/ar,ar,home,weak,30,أنظمة UAV صناعية,high_value_ar,1086,4,1,6,34,54,4,132,130,Organization | ContactPoint | WebSite,100,100,20,20,15,21,76,60,P2 建议增强,图片 alt 缺失 4/54,给关键图片补充描述性 alt，保持与页面实体和应用场景一致,أنظمة UAV صناعية ومراقبة الارتفاع المنخفض | N-TET,الشركة المصنعة لمعدات C-UAS الاحترافية ومورد النظام,حلول مكافحة الطائرات بدون طيار | حدد معدات مكافحة الطائرات بدون طيار الخاصة بك | يرى. تعريف. يتحكم. | من نحن | مشاريع مكافحة الطائرات بدون طيار | أخبرنا بالموقع ونوع الجهاز,.next-five-pages-v2/server/app/ar.html
/ar/about,ar,about,partial,65,مصنع UAV صناعي,partial_keyword_page + high_value_ar,1705,18,1,18,36,41,0,101,99,Organization | ContactPoint | WebSite,100,100,20,20,15,21,76,68,P1 需要补内容,,,عن N-TET | تكامل UAV صناعي ومراقبة,معدات وحلول أنظمة C-UAS,خبرة في المعدات تمتد حتى التسليم. | معدات C-UAS مصممة وفق ظروف النشر الفعلية. | استشعار RF ومعالجة الإشارات ودمج البيانات. | حيث يلتقي تطوير RF بالاختبار القابل للتكرار. | تحضير المعدات واختبارها | مسار واضح من المتطلبات إلى التسليم. | الأسئلة التي يطرحها المشترون عادة أولاً. | حدد الموقع وشكل النشر والمعدات المطلوبة.,.next-five-pages-v2/server/app/ar/about.html
/ar/accessories,ar,accessory_list,partial,75,ملحقات ومكونات UAV,partial_keyword_page + high_value_ar,880,8,1,11,65,75,0,150,148,Organization | ContactPoint | WebSite,100,100,20,20,15,21,76,60,P1 需要补内容,,,ملحقات ومكونات UAV | N-TET,مكونات الطائرات بدون طيار لتكامل النظام,ملحقات الطائرات بدون طيار ومكونات UAV للمنصات الصناعية | وحدات التحكم بالطيران | محركات UAV | مراوح UAV | بطاريات UAV | حوامل كهروبصرية | محركات UAV | روابط بيانات UAV,.next-five-pages-v2/server/app/ar/accessories.html
/ar/accessories/fc-bt1,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT1,full_inventory,1551,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة FC-BT1 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT1,بطارية UAV صلبة FC-BT1 Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-bt1.html
/ar/accessories/fc-bt2,ar,accessory_detail,strong,100,بطارية UAV صلبة FC-BT2,full_inventory,1409,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,بطارية UAV صلبة FC-BT2 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT2,بطارية UAV صلبة FC-BT2 Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-bt2.html
/ar/accessories/fc-bt3,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الجهد FC-BT3,full_inventory,1181,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة عالية الجهد FC-BT3 | N-TET Drone Accessories,بطارية UAV صلبة عالية الجهد FC-BT3,بطارية UAV صلبة عالية الجهد FC-BT3 Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-bt3.html
/ar/accessories/fc-bt4,ar,accessory_detail,strong,100,بطارية UAV صلبة عالية الطاقة FC-BT4,full_inventory,2039,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV صلبة عالية الطاقة FC-BT4 | N-TET Drone Accessories,بطارية UAV صلبة عالية الطاقة FC-BT4,بطارية UAV صلبة عالية الطاقة FC-BT4 Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-bt4.html
/ar/accessories/fc-btg,ar,accessory_detail,strong,100,بطارية UAV تدريبية صلبة FC-BTG,full_inventory,1266,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,بطارية UAV تدريبية صلبة FC-BTG | N-TET Drone Accessories,بطارية UAV تدريبية صلبة FC-BTG,بطارية UAV تدريبية صلبة FC-BTG Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-btg.html
/ar/accessories/fc-c2d-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2D,full_inventory,1260,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2D | N-TET Drone Accessories,مروحة UAV FC-C2D,مروحة UAV FC-C2D Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-c2d-propeller.html
/ar/accessories/fc-c2e-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2E,full_inventory,1150,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2E | N-TET Drone Accessories,مروحة UAV FC-C2E,مروحة UAV FC-C2E Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-c2e-propeller.html
/ar/accessories/fc-c2t-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2T,full_inventory,1250,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2T | N-TET Drone Accessories,مروحة UAV FC-C2T,مروحة UAV FC-C2T Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-c2t-propeller.html
/ar/accessories/fc-c2u-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2U,full_inventory,1250,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2U | N-TET Drone Accessories,مروحة UAV FC-C2U,مروحة UAV FC-C2U Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-c2u-propeller.html
/ar/accessories/fc-c2ud-propeller,ar,accessory_detail,strong,100,مروحة UAV FC-C2UD,full_inventory,1260,6,1,5,7,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,20,25,15,25,85,78,P3 保持监测,,,مروحة UAV FC-C2UD | N-TET Drone Accessories,مروحة UAV FC-C2UD,مروحة UAV FC-C2UD Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-c2ud-propeller.html
/ar/accessories/fc-fdj-111,ar,accessory_detail,strong,100,محرك UAV FC-FDJ-111,full_inventory,946,6,1,5,6,21,0,99,97,Organization | ContactPoint | WebSite | Product | BreadcrumbList | ListItem,100,100,25,25,15,25,90,92,P3 保持监测,,,محرك UAV FC-FDJ-111 | N-TET Drone Accessories,محرك UAV FC-FDJ-111,محرك UAV FC-FDJ-111 Technical Specifications | احصل على دفاع خبير بالطائرات بدون طيار! | نظرة عامة | المواصفات الفنية | احصل على دفاع خبير بالطائرات بدون طيار!,.next-five-pages-v2/server/app/ar/accessories/fc-fdj-111.html
