route,locale,page_type,compliance_tier,audit_status,audit_score,primary_keyword,keyword_count,issues,implementation_action,title
/en/cases,en,case_index,normal,strong,100,UAV inspection cases,5,,人工判定是否需要关键词库映射,UAV Inspection Cases & Low Altitude Monitoring Case | N-TET
/en/cases/anhui-flood-season-uav-patrol,en,case_detail,normal,strong,85,Anhui Flood-Season Emergency UAV Patrol,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Anhui Flood-Season Emergency UAV Patrol | N-TET
/en/cases/brazil-refinery-low-altitude-monitoring,en,case_detail,normal,strong,85,Airspace Monitoring Case of a Refinery in Brazil,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Airspace Monitoring Case of a Refinery in Brazil | N-TET
/en/cases/ice-snow-emergency-uav-inspection,en,case_detail,normal,strong,85,Ice and Snow Disaster Emergency UAV Inspection,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Ice and Snow Disaster Emergency UAV Inspection | N-TET
/en/cases/lidar-tree-obstruction-uav-inspection,en,case_detail,normal,strong,85,LiDAR Tree-Obstruction UAV Inspection,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,LiDAR Tree-Obstruction UAV Inspection | N-TET
/en/cases/nigeria-factory-low-altitude-monitoring,en,case_detail,normal,strong,85,Airspace Monitoring Case of a Group Factory in Nigeria,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Airspace Monitoring Case of a Group Factory in Nigeria | N-TET
/en/cases/pakistan-power-plant-low-altitude-monitoring,en,case_detail,normal,strong,85,Airspace Monitoring Case of a Power Plant in Pakistan,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Airspace Monitoring Case of a Power Plant in Pakistan | N-TET
/en/cases/southern-grid-wildfire-uav-inspection,en,case_detail,normal,strong,85,Southern Grid Wildfire Prevention UAV Inspection,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Southern Grid Wildfire Prevention UAV Inspection | N-TET
/en/cases/wildfire-emergency-transmission-line-uav-patrol,en,case_detail,normal,strong,85,Wildfire Emergency Transmission-Line UAV Patrol,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Wildfire Emergency Transmission-Line UAV Patrol | N-TET
/en/cases/zhaoqing-long-distance-power-line-uav-inspection,en,case_detail,normal,strong,85,Zhaoqing Long-Distance Power-Line UAV Inspection,2,H2 未命中关键词,检查是否需要从关键词库补长尾词；低商业价值页可不强制广告词映射,Zhaoqing Long-Distance Power-Line UAV Inspection | N-TET
