route,locale,audit_status,audit_score,primary_keyword,seo_keywords,current_title,current_h1,current_h2,title_hit,description_hit,h1_hit,h2_hit,body_hit,keyword_density_pct,next_action
/ar,ar,strong,85,أنظمة UAV صناعية,أنظمة UAV صناعية | أنظمة الطائرات بدون طيار الصناعية | مراقبة الارتفاعات المنخفضة | طائرة UAV للتفتيش | طائرة UAV للاستجابة الطارئة,أنظمة الطائرات بدون طيار الصناعية لعمليات الارتفاع المنخفض | N-TET,أنظمة UAV صناعية لعمليات المجال منخفض الارتفاع,حلولنا | مركز المنتجات | طائرة UAV لمراقبة المياه | مركز الحالات | من نحن | آخر الأخبار | حلولنا | مركز المنتجات | مركز الحالات | من نحن | آخر الأخبار,true,true,true,false,true,0.309,保持当前本地化关键词落地
/ar/about,ar,partial,70,مكامل أنظمة UAV الصناعية,مكامل أنظمة UAV الصناعية | مزود أنظمة UAV | مزود حلول مراقبة الارتفاع المنخفض | مكامل تقنيات الأمن,ملف مكامل أنظمة UAV الصناعية | N-TET,ملف مكامل أنظمة UAV الصناعية,قدرات تكامل أنظمة UAV الصناعية | فريق البحث والتطوير | نبذة عن الشركة | فريق البحث والتطوير | اطلب الحل وعرض السعر,true,false,true,false,true,0.060,把主/辅助关键词自然写入 H2
/ar/accessories,ar,partial,60,ملحقات الطائرات بدون طيار,ملحقات الطائرات بدون طيار | مكونات UAV | حامل UAV | محرك UAV | رابط بيانات UAV,ملحقات الطائرات بدون طيار ومكونات UAV | N-TET,ملحقات ومكونات UAV,Drone Accessories and UAV Components for Industrial Platforms | وحدات التحكم بالطيران | محركات UAV | مراوح UAV | بطاريات UAV | حوامل كهروبصرية | محركات UAV | روابط بيانات UAV | وحدات تحكم UAV عن بُعد | Drone Accessories FAQ | اطلب الحل وعرض السعر,true,true,false,false,true,3.804,优先把主关键词写入 H1
/ar/accessories/fc-bt1,ar,strong,100,بطارية UAV صلبة FC-BT1,بطارية UAV صلبة FC-BT1 | drone accessories | UAV components | industrial UAV parts,بطارية UAV صلبة FC-BT1 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT1,بطارية UAV صلبة FC-BT1 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.562,保持当前本地化关键词落地
/ar/accessories/fc-bt2,ar,strong,100,بطارية UAV صلبة FC-BT2,بطارية UAV صلبة FC-BT2 | drone accessories | UAV components | industrial UAV parts,بطارية UAV صلبة FC-BT2 | N-TET Drone Accessories,بطارية UAV صلبة FC-BT2,بطارية UAV صلبة FC-BT2 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.602,保持当前本地化关键词落地
/ar/accessories/fc-bt3,ar,strong,100,بطارية UAV صلبة عالية الجهد FC-BT3,بطارية UAV صلبة عالية الجهد FC-BT3 | drone accessories | UAV components | industrial UAV parts,بطارية UAV صلبة عالية الجهد FC-BT3 | N-TET Drone Accessories,بطارية UAV صلبة عالية الجهد FC-BT3,بطارية UAV صلبة عالية الجهد FC-BT3 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.680,保持当前本地化关键词落地
/ar/accessories/fc-bt4,ar,strong,100,بطارية UAV صلبة عالية الطاقة FC-BT4,بطارية UAV صلبة عالية الطاقة FC-BT4 | drone accessories | UAV components | industrial UAV parts,بطارية UAV صلبة عالية الطاقة FC-BT4 | N-TET Drone Accessories,بطارية UAV صلبة عالية الطاقة FC-BT4,بطارية UAV صلبة عالية الطاقة FC-BT4 Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.457,保持当前本地化关键词落地
/ar/accessories/fc-btg,ar,strong,100,بطارية UAV تدريبية صلبة FC-BTG,بطارية UAV تدريبية صلبة FC-BTG | drone accessories | UAV components | industrial UAV parts,بطارية UAV تدريبية صلبة FC-BTG | N-TET Drone Accessories,بطارية UAV تدريبية صلبة FC-BTG,بطارية UAV تدريبية صلبة FC-BTG Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.649,保持当前本地化关键词落地
/ar/accessories/fc-c2d-propeller,ar,strong,100,مروحة UAV FC-C2D,مروحة UAV FC-C2D | drone accessories | UAV components | industrial UAV parts,مروحة UAV FC-C2D | N-TET Drone Accessories,مروحة UAV FC-C2D,مروحة UAV FC-C2D Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.651,保持当前本地化关键词落地
/ar/accessories/fc-c2e-propeller,ar,strong,100,مروحة UAV FC-C2E,مروحة UAV FC-C2E | drone accessories | UAV components | industrial UAV parts,مروحة UAV FC-C2E | N-TET Drone Accessories,مروحة UAV FC-C2E,مروحة UAV FC-C2E Technical Specifications | اطلب الحل وعرض السعر | نظرة عامة | المواصفات الفنية | اطلب الحل وعرض السعر | ????? ??? ???,true,true,true,true,true,0.692,保持当前本地化关键词落地
